Timetable for L1-G2-S1
Day,Slot,Time,Type,Course Code,Course Name,Room,Instructor,Lab Instructor
Monday,1,9:00-10:30,Lecture,LRA101,JA Culture,B17 F1.15,Prof. Sherien,N/A
Monday,2,10:45-12:15,Lecture,PHY113,Physics 1,B17 F1.03,Prof. Adel Fathy,N/A
Monday,3,12:30-14:00,Lab,LRA401,JA Language 1,B18 F1.13,Prof. Language Assistant 2 (Lab),Prof. Language Assistant 2
Monday,4,14:15-15:45,Lab,ECE111,Digital Logic Design,B7.f1.04,ECE Department Staff (Lab),ECE Department Staff
Sunday,1,9:00-10:30,Lecture,LRA104,Music,B17 F1.15,Music Prof,N/A
Sunday,2,10:45-12:15,Lecture,MTH111,Math 1,B17 F1.03,Prof. Ayman Arafa,N/A
Sunday,3,12:30-14:00,Lecture,CSC111,Fundamentals of Programming,B17 F1.16,Prof. Reda Elbasyoine,N/A
Sunday,4,14:15-15:45,Lecture,ECE111,Digital Logic Design,B17 F1.15,Prof. Ahmed Allam,N/A
Tuesday,2,10:45-12:15,Lab,PHY113,Physics 1,CEO.PHYLAB,Eng. Fatima Ali (Lab),Eng. Fatima Ali
Wednesday,2,10:45-12:15,Lab,CSC111,Fundamentals of Programming,LAB.COMP.05,Eng. Maryam Essam (Lab),Eng. Maryam Essam
Wednesday,4,14:15-15:45,Lab,MTH111,Math 1,B10 F1.06,Eng. Math Specialist 1 (Lab),Eng. Math Specialist 1
