Assignment ID,Type,Course Code,Course Name,Day,Slot,Time,Room,Instructor,Lab Instructor,Assigned To
A0025,lecture,CNC111,Network and Web Programming,Sunday,2,10:45-12:15,B18 F1.21,Prof. Ahmed Antar,N/A,"L2-G1, L2-G1-S1, L2-G1-S2, L2-G1-S3"
A0033,lecture,CSE214,Computer Organization,Sunday,2,10:45-12:15,B18 G.08,Prof. Mostafa Soliman,N/A,"L2-G3, L2-G3-S1, L2-G3-S2, L2-G3-S3"
A0003,lecture,MTH111,Math 1,Sunday,3,12:30-14:00,B17 F1.03,Prof. Ayman Arafa,N/A,"L1-G3, L1-G3-S1, L1-G3-S2, L1-G3-S3"
A0007,lecture,ECE111,Digital Logic Design,Sunday,3,12:30-14:00,B17 F1.15,Prof. Ahmed Allam,N/A,"L1-G1, L1-G1-S1, L1-G1-S2, L1-G1-S3"
A0011,lecture,CSC111,Fundamentals of Programming,Sunday,3,12:30-14:00,B17 F1.16,Prof. Reda Elbasyoine,N/A,"L1-G2, L1-G2-S1, L1-G2-S2, L1-G2-S3"
A0024,lecture,CSC211,Software Engineering,Sunday,3,12:30-14:00,B17 G.09,Prof. Ahmed Arafa,N/A,"L2-G3, L2-G3-S1, L2-G3-S2, L2-G3-S3"
A0028,lecture,MTH212,Probability and Statistics,Sunday,3,12:30-14:00,B18 F1.21,Prof. Ahmed Zakaria,N/A,"L2-G1, L2-G1-S1, L2-G1-S2, L2-G1-S3"
A0032,lecture,CSE214,Computer Organization,Sunday,3,12:30-14:00,B18 G.08,Prof. Mostafa Soliman,N/A,"L2-G2, L2-G2-S1, L2-G2-S2, L2-G2-S3"
A0006,lecture,LRA104,Music,Sunday,4,14:15-15:45,B17 F1.03,Music Prof,N/A,"L1-G3, L1-G3-S1, L1-G3-S2, L1-G3-S3"
A0008,lecture,ECE111,Digital Logic Design,Sunday,4,14:15-15:45,B17 F1.15,Prof. Ahmed Allam,N/A,"L1-G2, L1-G2-S1, L1-G2-S2, L1-G2-S3"
A0010,lecture,CSC111,Fundamentals of Programming,Sunday,4,14:15-15:45,B17 F1.16,Prof. Reda Elbasyoine,N/A,"L1-G1, L1-G1-S1, L1-G1-S2, L1-G1-S3"
A0019,lecture,ACM215,ODE,Sunday,4,14:15-15:45,B17 G.09,Prof. Ayman Arafa,N/A,"L2-G1, L2-G1-S1, L2-G1-S2, L2-G1-S3"
A0027,lecture,CNC111,Network and Web Programming,Sunday,4,14:15-15:45,B18 F1.21,Prof. Ahmed Antar,N/A,"L2-G3, L2-G3-S1, L2-G3-S2, L2-G3-S3"
A0029,lecture,MTH212,Probability and Statistics,Sunday,4,14:15-15:45,B18 G.08,Prof. Ahmed Zakaria,N/A,"L2-G2, L2-G2-S1, L2-G2-S2, L2-G2-S3"
A0041,lab,ECE111,Digital Logic Design,Thursday,1,9:00-10:30,B7.f1.04,Eng. Omnya (Lab),Eng. Omnya,L1-G2-S2
A0056,lab,CSC111,Fundamentals of Programming,Thursday,1,9:00-10:30,B08 F1.25,Eng. Nada Essam (Lab),Eng. Nada Essam,L1-G1-S2
A0064,lab,LRA401,JA Language 1,Thursday,1,9:00-10:30,B18 G.03,Prof. Yumi Sato (Lab),Prof. Yumi Sato,L1-G1-S1
A0071,lab,LRA401,JA Language 1,Thursday,1,9:00-10:30,B07 F1.01,Prof. Language Assistant 1 (Lab),Prof. Language Assistant 1,L1-G3-S2
A0078,lab,MTH111,Math 1,Thursday,1,9:00-10:30,B26 G.02,Eng. Math Specialist 2 (Lab),Eng. Math Specialist 2,L1-G2-S3
A0103,lab,CSC211,Software Engineering,Thursday,1,9:00-10:30,B26 G.12,Eng. Nouran Moussa (Lab),Eng. Nouran Moussa,L2-G2-S1
