Timetable for L2-G1-S2
Day,Slot,Time,Type,Course Code,Course Name,Room,Instructor,Lab Instructor
Monday,1,9:00-10:30,Lecture,CSE214,Computer Organization,B17 G.09,Prof. Mostafa Soliman,N/A
Monday,2,10:45-12:15,Lecture,LRA306,Natural Resources and Sustainability,B17 G.09,Prof. LRA,N/A
Sunday,1,9:00-10:30,Lecture,CSC211,Software Engineering,B17 G.09,Prof. Ahmed Arafa,N/A
Sunday,2,10:45-12:15,Lecture,CNC111,Network and Web Programming,B18 F1.21,Prof. Ahmed Antar,N/A
Sunday,3,12:30-14:00,Lecture,MTH212,Probability and Statistics,B18 F1.21,Prof. Ahmed Zakaria,N/A
Sunday,4,14:15-15:45,Lecture,ACM215,ODE,B17 G.09,Prof. Ayman Arafa,N/A
Thursday,2,10:45-12:15,Lab,LRA403,JA Language 3,B26 G.01,Prof. JA Culture Specialist (Lab),Prof. JA Culture Specialist
Thursday,3,12:30-14:00,Lab,CSE214,Computer Organization,B08 F1.25,Eng. Omnya Ramadan (Lab),Eng. Omnya Ramadan
Thursday,4,14:15-15:45,Lab,CSC211,Software Engineering,B07 F1.22,Eng. Nada Ahmed (Lab),Eng. Nada Ahmed
Tuesday,1,9:00-10:30,Lab,MTH212,Probability and Statistics,B26 G.01,Eng. Math Specialist 2 (Lab),Eng. Math Specialist 2
Wednesday,3,12:30-14:00,Lab,ACM215,ODE,B18 F1.19,Eng. Layla Zayd (Lab),Eng. Layla Zayd
Wednesday,4,14:15-15:45,Lab,CNC111,Network and Web Programming,B26 G.04,Eng. Yousef Said (Lab),Eng. Yousef Said
