Timetable for L1-G1-S3
Day,Slot,Time,Type,Course Code,Course Name,Room,Instructor,Lab Instructor
Monday,1,9:00-10:30,Lecture,PHY113,Physics 1,B17 F1.03,Prof. Adel Fathy,N/A
Monday,2,10:45-12:15,Lecture,LRA101,JA Culture,B17 F1.15,Prof. Sherien,N/A
Monday,3,12:30-14:00,Lab,CSC111,Fundamentals of Programming,B17 F1.08,Eng. Nada Hamdy (Lab),Eng. Nada Hamdy
Sunday,1,9:00-10:30,Lecture,MTH111,Math 1,B17 F1.03,Prof. Ayman Arafa,N/A
Sunday,2,10:45-12:15,Lecture,LRA104,Music,B17 F1.15,Music Prof,N/A
Sunday,3,12:30-14:00,Lecture,ECE111,Digital Logic Design,B17 F1.15,Prof. Ahmed Allam,N/A
Sunday,4,14:15-15:45,Lecture,CSC111,Fundamentals of Programming,B17 F1.16,Prof. Reda Elbasyoine,N/A
Thursday,2,10:45-12:15,Lab,ECE111,Digital Logic Design,B7.f1.04,Eng. ECE (Lab),Eng. ECE
Thursday,3,12:30-14:00,Lab,LRA401,JA Language 1,B25 F1.18,Prof. Language Assistant 1 (Lab),Prof. Language Assistant 1
Tuesday,2,10:45-12:15,Lab,MTH111,Math 1,B26 G.11,Eng. nesrien ahmed (Lab),Eng. nesrien ahmed
Wednesday,1,9:00-10:30,Lab,PHY113,Physics 1,CEO.PHYLAB,BAS Department Staff (Lab),BAS Department Staff
