Timetable for L1-G1-S2
Day,Slot,Time,Type,Course Code,Course Name,Room,Instructor,Lab Instructor
Monday,1,9:00-10:30,Lecture,PHY113,Physics 1,B17 F1.03,Prof. Adel Fathy,N/A
Monday,2,10:45-12:15,Lecture,LRA101,JA Culture,B17 F1.15,Prof. Sherien,N/A
Monday,4,14:15-15:45,Lab,LRA401,JA Language 1,B07 F1.20,Prof. Lina Morales (Lab),Prof. Lina Morales
Sunday,1,9:00-10:30,Lecture,MTH111,Math 1,B17 F1.03,Prof. Ayman Arafa,N/A
Sunday,2,10:45-12:15,Lecture,LRA104,Music,B17 F1.15,Music Prof,N/A
Sunday,3,12:30-14:00,Lecture,ECE111,Digital Logic Design,B17 F1.15,Prof. Ahmed Allam,N/A
Sunday,4,14:15-15:45,Lecture,CSC111,Fundamentals of Programming,B17 F1.16,Prof. Reda Elbasyoine,N/A
Thursday,1,9:00-10:30,Lab,CSC111,Fundamentals of Programming,B08 F1.25,Eng. Nada Essam (Lab),Eng. Nada Essam
Tuesday,3,12:30-14:00,Lab,PHY113,Physics 1,CEO.PHYLAB,Eng. Fatima Ali (Lab),Eng. Fatima Ali
Wednesday,1,9:00-10:30,Lab,ECE111,Digital Logic Design,B7.f1.04,Eng. Omnya (Lab),Eng. Omnya
Wednesday,3,12:30-14:00,Lab,MTH111,Math 1,B26 F1.12,Eng. nesrien ahmed (Lab),Eng. nesrien ahmed
