Timetable for L1-G2-S2
Day,Slot,Time,Type,Course Code,Course Name,Room,Instructor,Lab Instructor
Monday,1,9:00-10:30,Lecture,LRA101,JA Culture,B17 F1.15,Prof. Sherien,N/A
Monday,2,10:45-12:15,Lecture,PHY113,Physics 1,B17 F1.03,Prof. Adel Fathy,N/A
Monday,4,14:15-15:45,Lab,PHY113,Physics 1,CEO.PHYLAB,BAS Department Staff (Lab),BAS Department Staff
Sunday,1,9:00-10:30,Lecture,LRA104,Music,B17 F1.15,Music Prof,N/A
Sunday,2,10:45-12:15,Lecture,MTH111,Math 1,B17 F1.03,Prof. Ayman Arafa,N/A
Sunday,3,12:30-14:00,Lecture,CSC111,Fundamentals of Programming,B17 F1.16,Prof. Reda Elbasyoine,N/A
Sunday,4,14:15-15:45,Lecture,ECE111,Digital Logic Design,B17 F1.15,Prof. Ahmed Allam,N/A
Thursday,1,9:00-10:30,Lab,ECE111,Digital Logic Design,B7.f1.04,Eng. Omnya (Lab),Eng. Omnya
Thursday,4,14:15-15:45,Lab,LRA401,JA Language 1,B26 G.03,Prof. JA Culture Specialist (Lab),Prof. JA Culture Specialist
Tuesday,4,14:15-15:45,Lab,CSC111,Fundamentals of Programming,B18 G.04,Eng. Zeina Ahmed (Lab),Eng. Zeina Ahmed
Wednesday,4,14:15-15:45,Lab,MTH111,Math 1,B17 G.20,Eng. Omnya (Lab),Eng. Omnya
