Timetable for L1-G2-S3
Day,Slot,Time,Type,Course Code,Course Name,Room,Instructor,Lab Instructor
Monday,1,9:00-10:30,Lecture,LRA101,JA Culture,B17 F1.15,Prof. Sherien,N/A
Monday,2,10:45-12:15,Lecture,PHY113,Physics 1,B17 F1.03,Prof. Adel Fathy,N/A
Monday,3,12:30-14:00,Lab,ECE111,Digital Logic Design,B7.f1.04,Eng. ECE (Lab),Eng. ECE
Sunday,1,9:00-10:30,Lecture,LRA104,Music,B17 F1.15,Music Prof,N/A
Sunday,2,10:45-12:15,Lecture,MTH111,Math 1,B17 F1.03,Prof. Ayman Arafa,N/A
Sunday,3,12:30-14:00,Lecture,CSC111,Fundamentals of Programming,B17 F1.16,Prof. Reda Elbasyoine,N/A
Sunday,4,14:15-15:45,Lecture,ECE111,Digital Logic Design,B17 F1.15,Prof. Ahmed Allam,N/A
Thursday,1,9:00-10:30,Lab,MTH111,Math 1,B26 G.02,Eng. Math Specialist 2 (Lab),Eng. Math Specialist 2
Thursday,3,12:30-14:00,Lab,PHY113,Physics 1,CEO.PHYLAB,Eng. Fatima Ali (Lab),Eng. Fatima Ali
Tuesday,1,9:00-10:30,Lab,CSC111,Fundamentals of Programming,B17 G.20,Eng. Nour Akram (Lab),Eng. Nour Akram
Tuesday,4,14:15-15:45,Lab,LRA401,JA Language 1,B18 G.12,Prof. Yumi Sato (Lab),Prof. Yumi Sato
